OrdenCorrida;Modelo;Experto;iso37;iso36;iso35;iso34;iso33;iso32;iso31;iso41;iso42;iso43;iso44;iso45;iso46;iso47;ancho intercanino (3-3);anchura interpremolar (4-4);anchura interpremolar (5-5);ancho intermolar;voto_mayoritario;experto
35;43;Experto 1;9,22;9,98;6,41;6,18;6,45;5,56;5,1;5,08;5,44;6,21;7,01;6,02;9,3;9,73;24,24;26,79;28,91;32,14;1;Cuadrado
36;44;Experto 1;9,56;10,51;6,87;6,4;6,61;5,65;5,02;5,26;5,79;6,23;6,41;6,37;10,23;9,73;29,43;32,21;36,22;39,66;2;Ovalado
37;45;Experto 1;10,9;10,08;7,13;7,79;7,52;5,78;5,19;5,11;6,03;7,08;7,77;7,97;10,24;10,4;27,99;28,9;33,37;36,92;1;Cuadrado
38;46;Experto 1;8,79;9,35;6,13;6,56;6,55;5,61;5,13;5,06;5,61;6,86;6,57;6,06;9,05;9,49;23,95;26,18;28,83;34,28;1;Cuadrado
39;47;Experto 1;9,96;10,67;6,9;7,34;7,77;6,07;5,63;5,47;6,08;6,91;7,77;7,18;10,79;9,33;25,91;25,32;29,28;36,2;1;Cuadrado
40;48;Experto 1;9,6;9,3;6,66;6,51;7,31;5,68;5,12;5,06;5,56;6,53;7,18;6,16;8,87;9,74;23,96;25,64;28,83;34,15;2;Ovalado
41;49;Experto 1;10,47;10,26;6,93;7,18;6,56;5,75;5,28;5,12;5,82;6,03;7,72;6,86;9,85;10,36;28,54;30,51;35,45;39,15;2;Ovalado
42;50;Experto 1;9,44;10,72;6,78;7,2;7,55;6,09;5,94;5,94;6,23;7,32;7,67;6,57;10,22;9,28;25,89;25,62;27,05;33,14;2;Ovalado
43;51;Experto 1;9,14;9,63;7,13;6,89;7,11;6;5,32;5,51;5,8;6,59;6,81;6,78;9,8;8,43;29,31;30,61;35,85;39,97;2;Ovalado
44;52;Experto 1;9,17;10,4;7,4;7,83;7,79;6,41;5,48;5,75;6,42;7,55;8;7,03;10,95;9,6;28,04;24,31;27,78;32,24;3;Cuadrado
45;53;Experto 1;8,76;10,02;6,66;6,68;7,16;6,42;5,53;5,42;6,39;7,05;7,68;6,85;10,54;9,09;25,75;27,43;34,02;39,15;2;Ovalado
46;54;Experto 1;8,65;9,02;6,37;7,09;6,08;5,53;5,04;5;5,28;6,15;6,21;6,25;9,2;8,96;25,69;28,67;32,33;34,34;2;Ovalado
47;55;Experto 1;9,25;10,43;6,45;7,08;6,93;5,88;5,35;5,33;5,33;6,59;6,89;6,64;10,33;9,6;24,46;26,07;28,93;32,36;3;Cuadrado
48;57;Experto 1;9,5;10,26;6,01;6,31;6,7;5,93;5,12;5,55;6,13;6,65;7,12;6,94;10,77;8,96;26,78;26,55;29,78;32;2;Cuadrado
